epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,49,,,0.107421875,2.311704635620117,,
0,99,,,0.10546875,2.3040740489959717,,
0,149,,,0.1376953125,2.2856831550598145,,
0,199,,,0.267578125,2.1462552547454834,,
0,249,,,0.58935546875,1.555436372756958,,
0,299,,,0.95361328125,0.7631607055664062,,
0,349,,,0.99853515625,0.3617191016674042,,
0,389,,,,,1.0,0.2217332422733307
1,399,,,1.0,0.19977602362632751,,
1,449,,,1.0,0.12311622500419617,,
1,499,,,1.0,0.08369738608598709,,
1,549,,,1.0,0.060724224895238876,,
1,599,,,1.0,0.04561285674571991,,
1,649,,,1.0,0.035362519323825836,,
1,699,,,1.0,0.028607850894331932,,
1,749,,,1.0,0.02328043058514595,,
1,779,,,,,1.0,0.020940478891134262
2,799,,,1.0,0.0196407251060009,,
2,849,,,1.0,0.016400612890720367,,
2,899,,,1.0,0.014104489237070084,,
2,949,,,1.0,0.012200023047626019,,
2,999,,,1.0,0.010521508753299713,,
2,1049,,,1.0,0.009263941086828709,,
2,1099,,,1.0,0.008198226802051067,,
2,1149,,,1.0,0.007339816074818373,,
2,1169,,,,,1.0,0.007088751997798681
3,1199,,,1.0,0.006605145055800676,,
3,1249,,,1.0,0.006032213103026152,,
3,1299,,,1.0,0.0054333885200321674,,
3,1349,,,1.0,0.005017727613449097,,
3,1399,,,1.0,0.004570938181132078,,
3,1449,,,1.0,0.004194693174213171,,
3,1499,,,1.0,0.0039421082474291325,,
3,1549,,,1.0,0.0035462486557662487,,
3,1559,,,,,1.0,0.003561317687854171
4,1599,,,1.0,0.0033675050362944603,,
4,1649,,,1.0,0.0030805938877165318,,
4,1699,,,1.0,0.0029040356166660786,,
4,1749,,,1.0,0.002708844840526581,,
4,1799,,,1.0,0.0025359780993312597,,
4,1849,,,1.0,0.002399201039224863,,
4,1899,,,1.0,0.0022260863333940506,,
4,1949,,,1.0,0.00212713866494596,,
4,1949,,,,,1.0,0.0021382346749305725
5,1999,,,1.0,0.0020110930781811476,,
5,2049,,,1.0,0.0019004466012120247,,
5,2099,,,1.0,0.001801892532967031,,
5,2149,,,1.0,0.00169593864120543,,
5,2199,,,1.0,0.0016176787903532386,,
5,2249,,,1.0,0.0015325709246098995,,
5,2299,,,1.0,0.001458581886254251,,
5,2339,,,,,1.0,0.0014135463861748576
6,2349,,,1.0,0.0013897502794861794,,
6,2399,,,1.0,0.0013151277089491487,,
6,2449,,,1.0,0.0012656304752454162,,
6,2499,,,1.0,0.0012158823665231466,,
6,2549,,,1.0,0.0011543302098289132,,
6,2599,,,1.0,0.0011109730694442987,,
6,2649,,,1.0,0.0010638735257089138,,
6,2699,,,1.0,0.0010095690377056599,,
6,2729,,,,,1.0,0.0010020016925409436
7,2749,,,1.0,0.0009844610467553139,,
7,2799,,,1.0,0.0009382539428770542,,
7,2849,,,1.0,0.0009013676317408681,,
7,2899,,,1.0,0.0008785243844613433,,
7,2949,,,1.0,0.0008387014386244118,,
7,2999,,,1.0,0.000799546658527106,,
7,3049,,,1.0,0.0007779635488986969,,
7,3099,,,1.0,0.0007536256453022361,,
7,3119,,,,,1.0,0.0007452011341229081
8,3149,,,1.0,0.0007308750064112246,,
8,3199,,,1.0,0.000692780886311084,,
8,3249,,,1.0,0.0006717885262332857,,
8,3299,,,1.0,0.0006578944739885628,,
8,3349,,,1.0,0.0006335102953016758,,
8,3399,,,1.0,0.0006162424106150866,,
8,3449,,,1.0,0.0005998358828946948,,
8,3499,,,1.0,0.0005755058955401182,,
8,3509,,,,,1.0,0.0005761808133684099
9,3549,,,1.0,0.000562121975235641,,
9,3599,,,1.0,0.0005439857486635447,,
9,3649,,,1.0,0.0005258607561700046,,
9,3699,,,1.0,0.0005200455198064446,,
9,3749,,,1.0,0.000500926747918129,,
9,3799,,,1.0,0.0004834863939322531,,
9,3849,,,1.0,0.0004683776351157576,,
9,3899,,,1.0,0.00045499257976189256,,
9,3899,,,,,1.0,0.00046064885100349784
10,3949,,,1.0,0.0004467249964363873,,
10,3999,,,1.0,0.00043706363067030907,,
10,4049,,,1.0,0.0004228724865242839,,
10,4099,,,1.0,0.00041415030136704445,,
10,4149,,,1.0,0.0004026138922199607,,
10,4199,,,1.0,0.00039317310438491404,,
10,4249,,,1.0,0.0003815314266830683,,
10,4289,,,,,1.0,0.0003795278025791049
11,4299,,,1.0,0.00037882948527112603,,
11,4349,,,1.0,0.0003662405943032354,,
11,4399,,,1.0,0.00036272272700443864,,
11,4449,,,1.0,0.0003494122065603733,,
11,4499,,,1.0,0.00034593476448208094,,
11,4549,,,1.0,0.0003366456658113748,,
11,4599,,,1.0,0.00033127801725640893,,
11,4649,,,1.0,0.00032230166834779084,,
11,4679,,,,,1.0,0.0003211342846043408
12,4699,,,1.0,0.00031783117447048426,,
12,4749,,,1.0,0.00031330669298768044,,
12,4799,,,1.0,0.00030765729025006294,,
12,4849,,,1.0,0.0002998078125528991,,
12,4899,,,1.0,0.0002941476705018431,,
12,4949,,,1.0,0.00029032709426246583,,
12,4999,,,1.0,0.0002829432487487793,,
12,5049,,,1.0,0.0002795585023704916,,
12,5069,,,,,1.0,0.0002784144598990679
13,5099,,,1.0,0.00027132051764056087,,
13,5149,,,1.0,0.00026891325251199305,,
13,5199,,,1.0,0.0002657519653439522,,
13,5249,,,1.0,0.00026317525771446526,,
13,5299,,,1.0,0.00025780507712624967,,
13,5349,,,1.0,0.000252923317020759,,
13,5399,,,1.0,0.00025074451696127653,,
13,5449,,,1.0,0.0002459614770486951,,
13,5459,,,,,1.0,0.00024702458176761866
14,5499,,,1.0,0.00024493911769241095,,
14,5549,,,1.0,0.00024087972997222096,,
14,5599,,,1.0,0.00023781477648299187,,
14,5649,,,1.0,0.00023531290935352445,,
14,5699,,,1.0,0.00023424426035489887,,
14,5749,,,1.0,0.00022637266374658793,,
14,5799,,,1.0,0.00022585096303373575,,
14,5849,,,1.0,0.00022258966055233032,,
14,5849,,,,,1.0,0.00022419492597691715
15,5899,,,1.0,0.0002197820576839149,,
15,5949,,,1.0,0.00021814435604028404,,
15,5999,,,1.0,0.00021809415193274617,,
15,6049,,,1.0,0.00021399979596026242,,
15,6099,,,1.0,0.00021207153622526675,,
15,6149,,,1.0,0.00021023565204814076,,
15,6199,,,1.0,0.0002083299186779186,,
15,6239,,,,,1.0,0.00020801607752218843
16,6249,,,1.0,0.00020570641208905727,,
16,6299,,,1.0,0.00020475640485528857,,
16,6349,,,1.0,0.000203038114705123,,
