epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,49,,,0.10185620188713074,2.326319694519043,,
0,99,,,0.0977737307548523,2.306910514831543,,
0,149,,,0.09792058169841766,2.304169178009033,,
0,199,,,0.0975387692451477,2.303385019302368,,
0,249,,,0.10129816830158234,2.3028030395507812,,
0,299,,,0.09962406009435654,2.3028228282928467,,
0,349,,,0.1027960553765297,2.302649974822998,,
0,389,,,,,0.09981202334165573,2.3027148246765137
1,399,,,0.10094572603702545,2.3026490211486816,,
1,449,,,0.09941846877336502,2.3027467727661133,,
1,499,,,0.10126879811286926,2.3026206493377686,,
1,549,,,0.1020030528306961,2.302598476409912,,
1,599,,,0.09659891575574875,2.302795171737671,,
1,649,,,0.0988898053765297,2.3028039932250977,,
1,699,,,0.10176809132099152,2.302624464035034,,
1,749,,,0.10194431245326996,2.30264949798584,,
1,779,,,,,0.100462406873703,2.3026211261749268
2,799,,,0.10079887509346008,2.302680015563965,,
2,849,,,0.09991776198148727,2.3026251792907715,,
2,899,,,0.09906602650880814,2.3027877807617188,,
2,949,,,0.09871358424425125,2.3026814460754395,,
2,999,,,0.10074013471603394,2.3027212619781494,,
2,1049,,,0.09847861528396606,2.302699089050293,,
2,1099,,,0.09894854575395584,2.3026058673858643,,
2,1149,,,0.09856672585010529,2.302626132965088,,
2,1169,,,,,0.09936842322349548,2.3026368618011475
3,1199,,,0.09915413707494736,2.3026440143585205,,
3,1249,,,0.10076950490474701,2.3025622367858887,,
3,1299,,,0.10141564905643463,2.3026044368743896,,
3,1349,,,0.10062265396118164,2.3025574684143066,,
3,1399,,,0.10150375962257385,2.302495241165161,,
3,1449,,,0.10288416594266891,2.3026435375213623,,
3,1499,,,0.09768562018871307,2.3026907444000244,,
3,1549,,,0.09859609603881836,2.302609443664551,,
3,1559,,,,,0.09963910281658173,2.3026371002197266
4,1599,,,0.09856672585010529,2.3026533126831055,,
4,1649,,,0.10003524273633957,2.302628517150879,,
4,1699,,,0.10094572603702545,2.3026411533355713,,
4,1749,,,0.10191494226455688,2.3026397228240967,,
4,1799,,,0.09994713217020035,2.302615165710449,,
4,1849,,,0.09956531971693039,2.3026392459869385,,
4,1899,,,0.0998883917927742,2.3025755882263184,,
4,1949,,,0.10091635584831238,2.3025569915771484,,
4,1949,,,,,0.10047368705272675,2.302623748779297
5,1999,,,0.09656954556703568,2.302668809890747,,
5,2049,,,0.09900728613138199,2.3026063442230225,,
5,2099,,,0.10229675471782684,2.3025898933410645,,
5,2149,,,0.10053453594446182,2.30263090133667,,
5,2199,,,0.10317786782979965,2.302574872970581,,
5,2249,,,0.09771499037742615,2.3026235103607178,,
5,2299,,,0.10050516575574875,2.3027942180633545,,
5,2339,,,,,0.09954887628555298,2.302584409713745
6,2349,,,0.09859609603881836,2.3025879859924316,,
6,2399,,,0.1000058725476265,2.302598714828491,,
6,2449,,,0.10071076452732086,2.3025639057159424,,
6,2499,,,0.09985902160406113,2.3025527000427246,,
6,2549,,,0.09718632698059082,2.3026647567749023,,
6,2599,,,0.10103383660316467,2.302539348602295,,
6,2649,,,0.10705474764108658,2.302475690841675,,
6,2699,,,0.1025610938668251,2.3025245666503906,,
6,2729,,,,,0.1027255654335022,2.302520275115967
7,2749,,,0.09912476688623428,2.302534580230713,,
7,2799,,,0.10009398311376572,2.302521228790283,,
7,2849,,,0.10326597839593887,2.3024086952209473,,
7,2899,,,0.10355968028306961,2.302361249923706,,
7,2949,,,0.10640859603881836,2.3015739917755127,,
7,2999,,,0.11624765396118164,2.2911815643310547,,
7,3049,,,0.1330474615097046,2.233419179916382,,
7,3099,,,0.19305098056793213,2.13167667388916,,
7,3119,,,,,0.22154510021209717,2.0862009525299072
8,3149,,,0.26547813415527344,1.9994908571243286,,
8,3199,,,0.3056860864162445,1.8527342081069946,,
8,3249,,,0.32574599981307983,1.7768722772598267,,
8,3299,,,0.33667176961898804,1.7348659038543701,,
8,3349,,,0.35085761547088623,1.6925060749053955,,
8,3399,,,0.36466166377067566,1.6572126150131226,,
8,3449,,,0.38310620188713074,1.6075750589370728,,
8,3499,,,0.3898613750934601,1.5821729898452759,,
8,3509,,,,,0.39459019899368286,1.57476007938385
9,3549,,,0.4005521535873413,1.555458664894104,,
9,3599,,,0.40686678886413574,1.53818678855896,,
9,3649,,,0.4246945381164551,1.4997695684432983,,
9,3699,,,0.43244829773902893,1.4731446504592896,,
9,3749,,,0.44528311491012573,1.4413886070251465,,
9,3799,,,0.4525963366031647,1.4168071746826172,,
9,3849,,,0.4587053656578064,1.3966437578201294,,
9,3899,,,0.4604088366031647,1.3881675004959106,,
9,3899,,,,,0.4626278281211853,1.3878509998321533
10,3949,,,0.4698367118835449,1.3707988262176514,,
10,3999,,,0.4701010286808014,1.3626856803894043,,
10,4049,,,0.4785890579223633,1.3459609746932983,,
10,4099,,,0.48208412528038025,1.3368641138076782,,
10,4149,,,0.4822603464126587,1.3280807733535767,,
10,4199,,,0.49347978830337524,1.3102872371673584,,
10,4249,,,0.49359726905822754,1.3012580871582031,,
10,4289,,,,,0.49816542863845825,1.2934613227844238
11,4299,,,0.49885454773902893,1.2920676469802856,,
11,4349,,,0.5033188462257385,1.2798302173614502,,
11,4399,,,0.5050223469734192,1.2753177881240845,,
11,4449,,,0.5064908266067505,1.2738103866577148,,
11,4499,,,0.50845867395401,1.2721869945526123,,
11,4549,,,0.518268346786499,1.2479993104934692,,
11,4599,,,0.5210878849029541,1.2370363473892212,,
11,4649,,,0.5264332890510559,1.2251393795013428,,
11,4679,,,,,0.5269097685813904,1.2224315404891968
12,4699,,,0.5274906158447266,1.2198525667190552,,
12,4749,,,0.5301045775413513,1.2135672569274902,,
12,4799,,,0.5331003069877625,1.2052961587905884,,
12,4849,,,0.5382401347160339,1.1937167644500732,,
12,4899,,,0.537241518497467,1.1900869607925415,,
12,4949,,,0.5389156341552734,1.1865285634994507,,
12,4999,,,0.5400904417037964,1.1818256378173828,,
12,5049,,,0.541059672832489,1.1767773628234863,,
12,5069,,,,,0.544357180595398,1.1753504276275635
13,5099,,,0.5433505773544312,1.1749763488769531,,
13,5149,,,0.548872172832489,1.170824646949768,,
13,5199,,,0.5508400201797485,1.156811237335205,,
13,5249,,,0.5557742118835449,1.1384676694869995,,
13,5299,,,0.5600035190582275,1.1293799877166748,,
13,5349,,,0.5609727501869202,1.1276148557662964,,
13,5399,,,0.560414731502533,1.1275558471679688,,
13,5449,,,0.5598273277282715,1.1274373531341553,,
13,5459,,,,,0.5605112910270691,1.1269630193710327
14,5499,,,0.5610608458518982,1.1267484426498413,,
14,5549,,,0.5613545775413513,1.1265006065368652,,
14,5599,,,0.5615307688713074,1.1263422966003418,,
14,5649,,,0.55923992395401,1.126284122467041,,
14,5699,,,0.5615307688713074,1.1249330043792725,,
14,5749,,,0.5616482496261597,1.118303656578064,,
14,5799,,,0.5650845766067505,1.1178594827651978,,
14,5849,,,0.5625,1.1175727844238281,,
14,5849,,,,,0.5645714998245239,1.1177197694778442
15,5899,,,0.565231442451477,1.1177133321762085,,
15,5949,,,0.5650258660316467,1.117728352546692,,
15,5999,,,0.5663768649101257,1.1175134181976318,,
