epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,49,,,0.10302734375,2.302978992462158,,
0,99,,,0.12109375,2.294266700744629,,
0,149,,,0.15673828125,2.248394012451172,,
0,199,,,0.19482421875,2.189336061477661,,
0,249,,,0.19873046875,2.117715358734131,,
0,299,,,0.193359375,2.095508337020874,,
0,349,,,0.1953125,2.0840976238250732,,
0,389,,,,,0.20206250250339508,2.067085027694702
1,399,,,0.19580078125,2.063924789428711,,
1,449,,,0.2080078125,2.0456676483154297,,
1,499,,,0.20849609375,2.043787956237793,,
1,549,,,0.203125,2.0386104583740234,,
1,599,,,0.21435546875,2.0128910541534424,,
1,649,,,0.2119140625,1.999196171760559,,
1,699,,,0.240234375,1.9715206623077393,,
1,749,,,0.25390625,1.9258909225463867,,
1,779,,,,,0.23743750154972076,1.947309136390686
2,799,,,0.23095703125,1.9375978708267212,,
2,849,,,0.25,1.9070369005203247,,
2,899,,,0.2373046875,1.9202104806900024,,
2,949,,,0.25439453125,1.8787810802459717,,
2,999,,,0.26123046875,1.8591080904006958,,
2,1049,,,0.25830078125,1.8731499910354614,,
2,1099,,,0.2646484375,1.857558012008667,,
2,1149,,,0.26953125,1.8285502195358276,,
2,1169,,,,,0.2685000002384186,1.8264213800430298
3,1199,,,0.2724609375,1.8208926916122437,,
3,1249,,,0.27978515625,1.831221103668213,,
3,1299,,,0.279296875,1.7926961183547974,,
3,1349,,,0.28857421875,1.7864724397659302,,
3,1399,,,0.2763671875,1.7783992290496826,,
3,1449,,,0.29052734375,1.7802033424377441,,
3,1499,,,0.30419921875,1.7588330507278442,,
3,1549,,,0.29833984375,1.7470707893371582,,
3,1559,,,,,0.29787498712539673,1.74662446975708
4,1599,,,0.29443359375,1.7571336030960083,,
4,1649,,,0.30615234375,1.7588067054748535,,
4,1699,,,0.2998046875,1.737821340560913,,
4,1749,,,0.30517578125,1.742550015449524,,
4,1799,,,0.31005859375,1.698845624923706,,
4,1849,,,0.3125,1.7113995552062988,,
4,1899,,,0.32080078125,1.7174054384231567,,
4,1949,,,0.32177734375,1.689004898071289,,
4,1949,,,,,0.3191874921321869,1.6951539516448975
5,1999,,,0.34033203125,1.6832629442214966,,
5,2049,,,0.32763671875,1.6859198808670044,,
5,2099,,,0.34423828125,1.6573587656021118,,
5,2149,,,0.3388671875,1.6603082418441772,,
5,2199,,,0.34765625,1.6658941507339478,,
5,2249,,,0.33056640625,1.6684156656265259,,
5,2299,,,0.33984375,1.6425033807754517,,
5,2339,,,,,0.34693750739097595,1.6364883184432983
6,2349,,,0.3359375,1.6584969758987427,,
6,2399,,,0.37158203125,1.6214854717254639,,
6,2449,,,0.3525390625,1.625281810760498,,
6,2499,,,0.3681640625,1.6110275983810425,,
6,2549,,,0.33349609375,1.637726068496704,,
6,2599,,,0.35546875,1.6113907098770142,,
6,2649,,,0.37353515625,1.6015284061431885,,
6,2699,,,0.36865234375,1.5950069427490234,,
6,2729,,,,,0.3629375100135803,1.5988298654556274
7,2749,,,0.3515625,1.602831482887268,,
7,2799,,,0.37060546875,1.5949974060058594,,
7,2849,,,0.3505859375,1.604943871498108,,
7,2899,,,0.37353515625,1.573845624923706,,
7,2949,,,0.37744140625,1.584820032119751,,
7,2999,,,0.36962890625,1.5702016353607178,,
7,3049,,,0.3779296875,1.5756397247314453,,
7,3099,,,0.37841796875,1.573325276374817,,
7,3119,,,,,0.37450000643730164,1.5700539350509644
8,3149,,,0.38671875,1.564825415611267,,
8,3199,,,0.37158203125,1.5578407049179077,,
8,3249,,,0.38720703125,1.5479604005813599,,
8,3299,,,0.38330078125,1.5556801557540894,,
8,3349,,,0.39111328125,1.5434534549713135,,
8,3399,,,0.39111328125,1.548016905784607,,
8,3449,,,0.38671875,1.5482410192489624,,
8,3499,,,0.3779296875,1.5666612386703491,,
8,3509,,,,,0.38506248593330383,1.54721999168396
9,3549,,,0.400390625,1.5322773456573486,,
9,3599,,,0.40283203125,1.5295088291168213,,
9,3649,,,0.39013671875,1.538374900817871,,
9,3699,,,0.38525390625,1.5433775186538696,,
9,3749,,,0.3916015625,1.5167317390441895,,
9,3799,,,0.38232421875,1.5329152345657349,,
9,3849,,,0.39892578125,1.5277680158615112,,
9,3899,,,0.408203125,1.5278347730636597,,
9,3899,,,,,0.39906251430511475,1.5172816514968872
10,3949,,,0.40234375,1.5124348402023315,,
10,3999,,,0.4033203125,1.5136977434158325,,
10,4049,,,0.3994140625,1.5057010650634766,,
10,4099,,,0.41748046875,1.5071772336959839,,
10,4149,,,0.40576171875,1.5077675580978394,,
10,4199,,,0.40673828125,1.4958523511886597,,
10,4249,,,0.39697265625,1.5045055150985718,,
10,4289,,,,,0.40543749928474426,1.5058966875076294
11,4299,,,0.40576171875,1.4922648668289185,,
11,4349,,,0.41357421875,1.4956039190292358,,
11,4399,,,0.43017578125,1.4723881483078003,,
11,4449,,,0.40625,1.493173360824585,,
11,4499,,,0.4150390625,1.4912924766540527,,
11,4549,,,0.41357421875,1.4888362884521484,,
11,4599,,,0.42333984375,1.4706459045410156,,
11,4649,,,0.42724609375,1.474914312362671,,
11,4679,,,,,0.4151875078678131,1.4832515716552734
12,4699,,,0.4140625,1.499604344367981,,
12,4749,,,0.4365234375,1.474306583404541,,
12,4799,,,0.4296875,1.456916093826294,,
12,4849,,,0.42041015625,1.4723560810089111,,
12,4899,,,0.42529296875,1.4723528623580933,,
12,4949,,,0.4423828125,1.4723225831985474,,
12,4999,,,0.431640625,1.473008394241333,,
12,5049,,,0.42431640625,1.4622337818145752,,
12,5069,,,,,0.4257499873638153,1.4664254188537598
13,5099,,,0.4326171875,1.452915072441101,,
13,5149,,,0.44189453125,1.448541522026062,,
13,5199,,,0.4404296875,1.4519222974777222,,
13,5249,,,0.4169921875,1.4633177518844604,,
13,5299,,,0.40966796875,1.4766861200332642,,
13,5349,,,0.4228515625,1.453937292098999,,
13,5399,,,0.4248046875,1.4583492279052734,,
13,5449,,,0.4228515625,1.4558719396591187,,
