epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,49,,,0.09623579680919647,2.329211711883545,,
0,99,,,0.10002367198467255,2.3074116706848145,,
0,149,,,0.1067708358168602,2.3043837547302246,,
0,199,,,0.10665246099233627,2.3029234409332275,,
0,249,,,0.10262784361839294,2.3031203746795654,,
0,299,,,0.09978692978620529,2.3027076721191406,,
0,349,,,0.09943182021379471,2.303023099899292,,
0,389,,,,,0.10237878561019897,2.302588701248169
1,399,,,0.10191761702299118,2.302551507949829,,
1,449,,,0.10665246099233627,2.302011489868164,,
1,499,,,0.1080729141831398,2.3017020225524902,,
1,549,,,0.10748106241226196,2.3009109497070312,,
1,599,,,0.11600378900766373,2.2929890155792236,,
1,649,,,0.16915246844291687,2.2108123302459717,,
1,699,,,0.3312026560306549,1.9409369230270386,,
1,749,,,0.5394176244735718,1.4575917720794678,,
1,779,,,,,0.6313484907150269,1.19461989402771
2,799,,,0.6911695003509521,1.0229178667068481,,
2,849,,,0.8385416865348816,0.5782409906387329,,
2,899,,,0.8855350613594055,0.3831608295440674,,
2,949,,,0.9032907485961914,0.3068758249282837,,
2,999,,,0.9243608117103577,0.2450372278690338,,
2,1049,,,0.9662641882896423,0.12607499957084656,,
2,1099,,,0.9850852489471436,0.06638350337743759,,
2,1149,,,0.9865056872367859,0.05416640266776085,,
2,1169,,,,,0.9881516098976135,0.04899803176522255
3,1199,,,0.9970407485961914,0.02881644107401371,,
3,1249,,,0.9992897510528564,0.015160112641751766,,
3,1299,,,0.9995265007019043,0.010891775600612164,,
3,1349,,,1.0,0.008596002124249935,,
3,1399,,,0.9998816251754761,0.007639098446816206,,
3,1449,,,0.9998816251754761,0.006245589815080166,,
3,1499,,,0.9998816251754761,0.0055878376588225365,,
3,1549,,,0.9998816251754761,0.004879827611148357,,
3,1559,,,,,1.0,0.004752001259475946
4,1599,,,0.9998816251754761,0.004588685929775238,,
4,1649,,,1.0,0.003757310099899769,,
4,1699,,,0.9998816251754761,0.003916666842997074,,
4,1749,,,0.9998816251754761,0.0035992003977298737,,
4,1799,,,1.0,0.0030128364451229572,,
4,1849,,,1.0,0.002632634248584509,,
4,1899,,,1.0,0.002507362514734268,,
4,1949,,,1.0,0.0024848615285009146,,
4,1949,,,,,1.0,0.002335604513064027
5,1999,,,1.0,0.002300469670444727,,
5,2049,,,0.9998816251754761,0.002288406016305089,,
5,2099,,,1.0,0.0019943518564105034,,
5,2149,,,1.0,0.0018514031544327736,,
5,2199,,,1.0,0.0017319032922387123,,
5,2249,,,1.0,0.001534411683678627,,
5,2299,,,1.0,0.0014482856495305896,,
5,2339,,,,,1.0,0.0014204905601218343
6,2349,,,1.0,0.001373584964312613,,
6,2399,,,1.0,0.0014717784943059087,,
6,2449,,,1.0,0.001379230641759932,,
6,2499,,,1.0,0.0011291077826172113,,
6,2549,,,1.0,0.0010868599638342857,,
6,2599,,,1.0,0.0010542059317231178,,
6,2649,,,1.0,0.0010197078809142113,,
6,2699,,,1.0,0.0010106880217790604,,
6,2729,,,,,1.0,0.0009587578824721277
7,2749,,,1.0,0.0009460523724555969,,
7,2799,,,1.0,0.0008669368107803166,,
7,2849,,,1.0,0.0008800704381428659,,
7,2899,,,1.0,0.0008170870132744312,,
7,2949,,,1.0,0.0007911434513516724,,
7,2999,,,1.0,0.0006997843738645315,,
7,3049,,,1.0,0.0007207304588519037,,
7,3099,,,1.0,0.0007591538014821708,,
7,3119,,,,,1.0,0.0006962477928027511
8,3149,,,1.0,0.0007552247843705118,,
8,3199,,,1.0,0.0007599107921123505,,
8,3249,,,1.0,0.0006705377018079162,,
8,3299,,,1.0,0.0006154855946078897,,
8,3349,,,1.0,0.0006718413787893951,,
8,3399,,,1.0,0.0006263286340981722,,
8,3449,,,1.0,0.0005373809253796935,,
8,3499,,,1.0,0.0006243908428587019,,
8,3509,,,,,1.0,0.0005333792068995535
9,3549,,,1.0,0.0005589063512161374,,
9,3599,,,1.0,0.0005240063183009624,,
9,3649,,,1.0,0.0004840805195271969,,
9,3699,,,1.0,0.00046393414959311485,,
9,3749,,,1.0,0.0004634270735550672,,
9,3799,,,1.0,0.0004812839033547789,,
9,3849,,,1.0,0.0004672351642511785,,
9,3899,,,1.0,0.0004478883929550648,,
9,3899,,,,,1.0,0.0004220611590426415
10,3949,,,1.0,0.00044293823884800076,,
10,3999,,,1.0,0.000391658948501572,,
10,4049,,,1.0,0.0003926930658053607,,
10,4099,,,1.0,0.0003837871481664479,,
10,4149,,,1.0,0.0003620924544520676,,
10,4199,,,1.0,0.00036388629814609885,,
10,4249,,,1.0,0.00036340378574095666,,
10,4289,,,,,1.0,0.00034379991120658815
11,4299,,,1.0,0.0003464121837168932,,
11,4349,,,1.0,0.0003782999701797962,,
11,4399,,,1.0,0.000329505157424137,,
11,4449,,,1.0,0.0003363031428307295,,
11,4499,,,1.0,0.00035191280767321587,,
11,4549,,,1.0,0.0003103926428593695,,
11,4599,,,1.0,0.0003183850785717368,,
11,4649,,,1.0,0.00028722223942168057,,
11,4679,,,,,1.0,0.0002904688590206206
12,4699,,,1.0,0.0002713328576646745,,
12,4749,,,1.0,0.0002696645387914032,,
12,4799,,,1.0,0.0002612980897538364,,
12,4849,,,1.0,0.0002734082518145442,,
12,4899,,,1.0,0.000279586180113256,,
12,4949,,,1.0,0.0002670710382517427,,
12,4999,,,1.0,0.00025931387790478766,,
12,5049,,,1.0,0.0002484229626134038,,
12,5069,,,,,1.0,0.0002505626471247524
13,5099,,,1.0,0.0002516296226531267,,
13,5149,,,1.0,0.0002493575739208609,,
13,5199,,,1.0,0.000241209811065346,,
13,5249,,,1.0,0.0002356195036554709,,
13,5299,,,1.0,0.00023377840989269316,,
13,5349,,,1.0,0.00024135068815667182,,
13,5399,,,1.0,0.00021722733799833804,,
13,5449,,,1.0,0.00023427896667271852,,
13,5459,,,,,1.0,0.00022264158178586513
14,5499,,,1.0,0.00021538346481975168,,
14,5549,,,1.0,0.00020361875067465007,,
14,5599,,,1.0,0.0002172651729779318,,
14,5649,,,1.0,0.00021666265092790127,,
14,5699,,,1.0,0.0002082144928863272,,
14,5749,,,1.0,0.0002497617097105831,,
14,5799,,,1.0,0.00019519498164299875,,
14,5849,,,1.0,0.0001861883793026209,,
