epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,49,,,0.10144412517547607,2.329685688018799,,
0,99,,,0.0950520858168602,2.31150221824646,,
0,149,,,0.09753787517547607,2.3062918186187744,,
0,199,,,0.09351325780153275,2.3056981563568115,,
0,249,,,0.10179924219846725,2.3027637004852295,,
0,299,,,0.09801136702299118,2.3032307624816895,,
0,349,,,0.10357481241226196,2.3030009269714355,,
0,389,,,,,0.10977273434400558,2.301084518432617
1,399,,,0.11339962482452393,2.3002681732177734,,
1,449,,,0.13435132801532745,2.293100357055664,,
1,499,,,0.1857244372367859,2.2499234676361084,,
1,549,,,0.3753551244735718,1.943068265914917,,
1,599,,,0.6300899386405945,1.290617823600769,,
1,649,,,0.7935606241226196,0.7260528206825256,,
1,699,,,0.8910984992980957,0.38540220260620117,,
1,749,,,0.9597538113594055,0.15981228649616241,,
1,779,,,,,0.9708484411239624,0.11474861204624176
2,799,,,0.9808238744735718,0.08806633204221725,,
2,849,,,0.9997632503509521,0.022293975576758385,,
2,899,,,1.0,0.015075312927365303,,
2,949,,,1.0,0.011598363518714905,,
2,999,,,1.0,0.00941666029393673,,
2,1049,,,1.0,0.007919292896986008,,
2,1099,,,1.0,0.0067102545872330666,,
2,1149,,,1.0,0.005768813192844391,,
2,1169,,,,,1.0,0.005490242503583431
3,1199,,,1.0,0.005099902860820293,,
3,1249,,,1.0,0.004520039074122906,,
3,1299,,,1.0,0.004043588414788246,,
3,1349,,,1.0,0.0036129369400441647,,
3,1399,,,1.0,0.0033098149579018354,,
3,1449,,,1.0,0.002992843044921756,,
3,1499,,,1.0,0.002742181532084942,,
3,1549,,,1.0,0.0024832256603986025,,
3,1559,,,,,1.0,0.002454941626638174
4,1599,,,1.0,0.0023188116028904915,,
4,1649,,,1.0,0.0021351531613618135,,
4,1699,,,1.0,0.001969505101442337,,
4,1749,,,1.0,0.0018406773451715708,,
4,1799,,,1.0,0.0017256480641663074,,
4,1849,,,1.0,0.0016033387510105968,,
4,1899,,,1.0,0.0014979448169469833,,
4,1949,,,1.0,0.0014223147882148623,,
4,1949,,,,,1.0,0.0014121870044618845
5,1999,,,1.0,0.0013370814267545938,,
5,2049,,,1.0,0.0012598785106092691,,
5,2099,,,1.0,0.0011873048497363925,,
5,2149,,,1.0,0.0011163419112563133,,
5,2199,,,1.0,0.001067735138349235,,
5,2249,,,1.0,0.001014099339954555,,
5,2299,,,1.0,0.0009586026426404715,,
5,2339,,,,,1.0,0.0009205283131450415
6,2349,,,1.0,0.0009183536749333143,,
6,2399,,,1.0,0.0008686282089911401,,
6,2449,,,1.0,0.0008251962135545909,,
6,2499,,,1.0,0.0007893726578913629,,
6,2549,,,1.0,0.0007581320242024958,,
6,2599,,,1.0,0.0007281674188561738,,
6,2649,,,1.0,0.000688909727614373,,
6,2699,,,1.0,0.0006662161322310567,,
6,2729,,,,,1.0,0.0006484542391262949
7,2749,,,1.0,0.0006370009505189955,,
7,2799,,,1.0,0.0006134413997642696,,
7,2849,,,1.0,0.0005909354658797383,,
7,2899,,,1.0,0.0005692625418305397,,
7,2949,,,1.0,0.0005499308463186026,,
7,2999,,,1.0,0.0005249573150649667,,
7,3049,,,1.0,0.000507314398419112,,
7,3099,,,1.0,0.0004883857327513397,,
7,3119,,,,,1.0,0.0004822813207283616
8,3149,,,1.0,0.0004739397263620049,,
8,3199,,,1.0,0.00045884447172284126,,
8,3249,,,1.0,0.00044240677380003035,,
8,3299,,,1.0,0.0004278561391402036,,
8,3349,,,1.0,0.00041440516361035407,,
8,3399,,,1.0,0.0004012221179436892,,
8,3449,,,1.0,0.0003867399937007576,,
8,3499,,,1.0,0.0003772401832975447,,
8,3509,,,,,1.0,0.00037388328928500414
9,3549,,,1.0,0.00036248471587896347,,
9,3599,,,1.0,0.0003534379357006401,,
9,3649,,,1.0,0.0003442424931563437,,
9,3699,,,1.0,0.00033486747997812927,,
9,3749,,,1.0,0.0003271246678195894,,
9,3799,,,1.0,0.00031717598903924227,,
9,3849,,,1.0,0.0003101875481661409,,
9,3899,,,1.0,0.00029863888630643487,,
9,3899,,,,,1.0,0.0002997858391609043
10,3949,,,1.0,0.00029381501371972263,,
10,3999,,,1.0,0.0002835281484294683,,
10,4049,,,1.0,0.0002751008723862469,,
10,4099,,,1.0,0.00027189234970137477,,
10,4149,,,1.0,0.00026689236983656883,,
10,4199,,,1.0,0.0002592519158497453,,
10,4249,,,1.0,0.0002534094965085387,,
10,4289,,,,,1.0,0.0002474239736329764
11,4299,,,1.0,0.0002478868991602212,,
11,4349,,,1.0,0.00024122885952237993,,
11,4399,,,1.0,0.00023623148445039988,,
11,4449,,,1.0,0.00023032899480313063,,
11,4499,,,1.0,0.00022575473121833056,,
11,4549,,,1.0,0.0002223704505013302,,
11,4599,,,1.0,0.00021569780074059963,,
11,4649,,,1.0,0.00021370171452872455,,
11,4679,,,,,1.0,0.0002095589297823608
12,4699,,,1.0,0.00020787054381798953,,
12,4749,,,1.0,0.00020319910254329443,,
12,4799,,,1.0,0.00020006776321679354,,
12,4849,,,1.0,0.00019728437473531812,,
12,4899,,,1.0,0.0001918069610837847,,
12,4949,,,1.0,0.00019074836745858192,,
12,4999,,,1.0,0.00018609694961924106,,
12,5049,,,1.0,0.0001831570261856541,,
12,5069,,,,,1.0,0.00018181356426794082
13,5099,,,1.0,0.00017820458742789924,,
13,5149,,,1.0,0.0001781671162461862,,
13,5199,,,1.0,0.00017434771871194243,,
13,5249,,,1.0,0.00017202470917254686,,
13,5299,,,1.0,0.00016836353461258113,,
13,5349,,,1.0,0.00016785548359621316,,
13,5399,,,1.0,0.0001642930437810719,,
13,5449,,,1.0,0.00016146112466230989,,
13,5459,,,,,1.0,0.00016142365348059684
14,5499,,,1.0,0.00015933070972096175,,
14,5549,,,1.0,0.00015728117432445288,,
14,5599,,,1.0,0.00015591029659844935,,
14,5649,,,1.0,0.00015191554848570377,,
14,5699,,,1.0,0.00015025807078927755,,
14,5749,,,1.0,0.00015007601177785546,,
14,5799,,,1.0,0.0001493711897637695,,
14,5849,,,1.0,0.00014496380754280835,,
14,5849,,,,,1.0,0.00014658748114015907
15,5899,,,1.0,0.00014427020505536348,,
15,5949,,,1.0,0.00014609888603445143,,
